file,ActualBestHead_Eval,ActualBestHead_Ablated_Eval,ReproducedChoice_Original,ReproducedChoice_Ablated,LLMChoice,ActualBestHead_VUSPR,ActualBestHead_Ablated_VUSPR,ReproducedChoice_Original_VUSPR,ReproducedChoice_Ablated_VUSPR,LLMChoice_VUSPR,Fallback_Original_VUSPR,Fallback_Ablated_VUSPR
001_Genesis_id_1_Sensor_tr_4055_1st_15538,TSPulse_ZS_fft,TSPulse2_llm_selection_ablated_time,,,forecast,0.0099372343846064,0.0073442918821680,0.0099339099912006,0.0073442918821680,0.0043398509403379,0.0099339099912006,0.0073442918821680
002_MSL_id_1_Sensor_tr_500_1st_900,TSPulse_ZS_fft,TSPulse2_llm_selection_ablated_forecast,TSPulse_ZS_time,TSPulse2_llm_selection_ablated_time,forecast,0.1023366197495550,0.7922734907384360,0.1023366197495550,0.5811829122920101,0.7922734907384360,0.1006036339369672,0.5811829122920101
003_MSL_id_2_Sensor_tr_883_1st_1238,TSPulse_ZS_fft,TSPulse2_llm_selection_ablated_ensemble,TSPulse_ZS_time,TSPulse2_llm_selection_ablated_time,ensemble,0.1201461960373325,0.9334948130436840,0.1169645678147904,0.9231988043494836,0.9334948130436840,0.1199239673869117,0.9231988043494836
005_MSL_id_4_Sensor_tr_855_1st_2700,TSPulse_ZS_time,TSPulse2_llm_selection_ablated_time,TSPulse_ZS_time,TSPulse2_llm_selection_ablated_time,time,0.1196086228799149,0.1174996998035531,0.1196086228799149,0.1174996998035531,0.1174996998035531,0.1172077681973937,0.1174996998035531
006_MSL_id_5_Sensor_tr_1150_1st_1250,TSPulse_ZS_forecast,TSPulse2_llm_selection_ablated_forecast,TSPulse_ZS_time,TSPulse2_llm_selection_ablated_time,forecast,0.0927390930314096,0.1344520271525273,0.0520146528029896,0.1077723494987902,0.1344520271525273,0.0522287374463101,0.1077723494987902
007_MSL_id_6_Sensor_tr_980_1st_3550,TSPulse_ZS_forecast,TSPulse2_llm_selection_ablated_time,TSPulse_ZS_time,TSPulse2_llm_selection_ablated_time,ensemble,0.0712635844541504,0.9766562742619926,0.0389597709490333,0.9766562742619926,0.9755732806227350,0.0392817348009563,0.9766562742619926
008_MSL_id_7_Sensor_tr_656_1st_1630,TSPulse_ZS_fft,TSPulse2_llm_selection_ablated_ensemble,TSPulse_ZS_time,TSPulse2_llm_selection_ablated_time,ensemble,0.0687974757027605,0.8274354538558842,0.0681141882306601,0.8230873762123426,0.8274354538558842,0.0687236140837427,0.8230873762123426
009_MSL_id_8_Sensor_tr_714_1st_1390,TSPulse_ZS_forecast,TSPulse2_llm_selection_ablated_forecast,TSPulse_ZS_time,TSPulse2_llm_selection_ablated_time,forecast,0.0079370982023216,0.7728054360936302,0.0064224903846355,0.5728959870869116,0.7728054360936302,0.0056362458511428,0.5728959870869116
010_MSL_id_9_Sensor_tr_554_1st_1172,TSPulse_ZS_time,TSPulse2_llm_selection_ablated_time,TSPulse_ZS_time,TSPulse2_llm_selection_ablated_time,ensemble,0.0300715690661381,0.1110184048358639,0.0300715690661381,0.1110184048358639,0.1063803549569559,0.0297751714050014,0.1110184048358639
012_MSL_id_11_Sensor_tr_539_1st_940,TSPulse_ZS_time,TSPulse2_llm_selection_ablated_time,TSPulse_ZS_time,TSPulse2_llm_selection_ablated_time,time,0.0669318756939082,0.9316311766301192,0.0669318756939082,0.9316311766301192,0.9316311766301192,0.0666496380920472,0.9316311766301192
013_MSL_id_12_Sensor_tr_554_1st_1200,TSPulse_ZS_ensemble,TSPulse2_llm_selection_ablated_ensemble,TSPulse_ZS_time,TSPulse2_llm_selection_ablated_time,forecast,0.0951583091110576,0.7450173069891908,0.0928278351825553,0.7321926436196924,0.5717390489084774,0.0951583091110576,0.7321926436196924
014_MSL_id_13_Sensor_tr_1525_1st_4575,TSPulse_ZS_fft,TSPulse2_llm_selection_ablated_time,TSPulse_ZS_time,TSPulse2_llm_selection_ablated_time,time,0.7365589507952004,0.9993170666209396,0.7280691586211954,0.9993170666209396,0.9993170666209396,0.6837870196677667,0.9993170666209396
015_MSL_id_14_Sensor_tr_575_1st_1250,TSPulse_ZS_ensemble,TSPulse2_llm_selection_ablated_forecast,TSPulse_ZS_time,TSPulse2_llm_selection_ablated_time,forecast,0.5652358023884140,0.0941626379173894,0.5631000192294047,0.0778560807282502,0.0941626379173894,0.5652358023884140,0.0778560807282502
016_MSL_id_15_Sensor_tr_500_1st_780,TSPulse_ZS_time,TSPulse2_llm_selection_ablated_ensemble,TSPulse_ZS_time,TSPulse2_llm_selection_ablated_time,forecast,0.4218414103715416,0.9175762158010006,0.4218414103715416,0.8170575985697850,0.6102510003259840,0.4097009056510983,0.8170575985697850
017_MSL_id_16_Sensor_tr_512_1st_1850,TSPulse_ZS_fft,TSPulse2_llm_selection_ablated_forecast,TSPulse_ZS_time,TSPulse2_llm_selection_ablated_time,forecast,0.4211417207719373,0.9147139219784844,0.4202731811047945,0.8564947501060675,0.9147139219784844,0.4165282190390279,0.8564947501060675
018_Daphnet_id_1_HumanActivity_tr_9693_1st_20732,TSPulse_ZS_time,TSPulse2_llm_selection_ablated_time,,,ensemble,0.3544037205279834,0.3605206217943749,0.3492513646856368,0.3605206217943749,0.3565241214773007,0.3492513646856368,0.3605206217943749
